year,brand,superbowl_ads_link,youtube_link,length,estimated_cost,youtube_views,youtube_likes,tv_viewers,funny,shows_product_quickly,patriotic,celebrity,danger,animals,uses_sex,no_youtube_likes
2020,Bud Light,https://superbowl-ads.com/2020-bud-light-seltzer-inside-posts-brain/,https://www.youtube.com/watch?v=nbbp0VW7z8w,60,11.2,76790.0,998.0,100.44,1,1,0,1,1,0,0,75792.0
2020,Toyota,https://superbowl-ads.com/2020-toyota-go-places-with-cobie-smulders/,https://www.youtube.com/watch?v=f34Ji70u3nk,60,11.2,27694.0,138.0,100.44,1,1,0,1,1,1,0,27556.0
2020,Coca-Cola,https://superbowl-ads.com/2020-coca-cola-energy-show-up/,https://www.youtube.com/watch?v=-gAZRN3SCBw,60,11.2,309037.0,1400.0,100.44,1,0,0,1,0,1,0,307637.0
2020,Kia,https://superbowl-ads.com/2020-kia-tough-never-quits/,https://www.youtube.com/watch?v=lMs79UXam9A,60,11.2,25604.0,111.0,100.44,0,0,0,1,0,0,0,25493.0
2020,Hyundai,https://superbowl-ads.com/2020-hyundai-smaht-pahk/,https://www.youtube.com/watch?v=WBvkmWDjsYc,60,11.2,198025.0,2000.0,100.44,1,1,0,1,0,1,0,196025.0
2020,Budweiser,https://superbowl-ads.com/2020-budweiser-typical-american/,https://www.youtube.com/watch?v=J0xugdotpp8,60,11.2,1760.0,12.0,100.44,0,1,1,1,1,0,0,1748.0
2020,NFL,https://superbowl-ads.com/2020-nfl-next-100/,https://www.youtube.com/watch?v=lbkafMhmvMo,170,31.73,33318676.0,202000.0,100.44,0,0,1,1,0,0,0,33116676.0
2020,Doritos,https://superbowl-ads.com/2020-doritos-the-cool-ranch-with-lil-nas-x-and-sam-elliott/,https://www.youtube.com/watch?v=6xVnq31Vk8Y,60,11.2,2137823.0,11000.0,100.44,1,1,0,1,1,1,0,2126823.0
2020,Pepsi,https://superbowl-ads.com/2020-pepsi-zero-sugar-done-right/,https://www.youtube.com/watch?v=Ozb_fJB_z6o,30,5.6,34221.0,155.0,100.44,0,1,0,1,0,0,0,34066.0
2021,E-Trade,https://www.superbowl-ads.com/2021-etrade-workout/,https://www.youtube.com/watch?v=QagQxo4IZx8,30,5.5,177.0,6.0,91.6,1,0,0,1,0,0,0,171.0
2021,Toyota,https://www.superbowl-ads.com/2021-toyota-jessica-longs-story-upstream/,https://www.youtube.com/watch?v=fqWG5_7nwyk&t=1s,60,11.0,1399700.0,12000.0,91.6,0,0,1,0,0,0,0,1387700.0
2021,Bud Light,https://www.superbowl-ads.com/2021-bud-light-legends/,https://www.youtube.com/watch?v=IOjsm02SVF4,60,11.0,4250.0,33.0,91.6,1,1,0,1,1,0,0,4217.0
2021,Doritos,https://www.superbowl-ads.com/2021-doritos-3d-flat-matthew/,https://www.youtube.com/watch?v=BLuqtTn4610&t=9s,60,11.0,21546932.0,20000.0,91.6,1,0,0,1,1,1,0,21526932.0
2021,Bud Light,https://www.superbowl-ads.com/2021-bud-light-last-years-lemons/,https://www.youtube.com/watch?v=g6CVKs77X74,60,11.0,5140823.0,2900.0,91.6,1,1,0,0,1,0,0,5137923.0
